8:30 AM|10:00 AM||Registration|||||
10:00 AM|10:15 AM|Opening Talk|Livestream from 26-100|||||
10:15 AM|11:00 AM|Fireside Chat|Livestream from 26-100|Pete Rizzo|Joi Ito|||
11:00 AM|11:30 AM|Panel|Debate of the Decade - PoS vs PoW|Neha Narula|David Vorick |Karl Floresch||
11:30 AM|11:40 AM||Break|||||
11:40 AM|12:05 PM|Panel|Privacy, KYC and AML|Amy Castor|Francois Rideau|Paige Peterson|Arthur Gervais|
12:05 PM|12:45 PM|Panel|The Scalability Problem|Paul Wegzyn|Preethi Kasireddy|Cory Fields|John Newbury|
12:45 PM|1:00 PM|Talk|Blockchain Education Network|-|Jinglan Wang|||
1:00 PM|2:00 PM||Lunch|||||
2:00 PM|3:00 PM|Panel|Blockchain Security|Tadge Dryja|Jeremy Rubin |Sharon Goldberg|Charles Guillemet|
3:00 PM|4:00 PM|Presentations|Hackathon Presentations|||||
4:00 PM|4:15 PM|Ceremony|Hackathon Awards|Sharon Lin||||
4:15 PM|4:20PM||Break|||||
4:20 PM|5:00 PM|Panel|Industry Applications - Beyond Money|Sid Kalla|Bettina Warburg|Antonio Tenorio-Fornes|Guy Zyskind|James Lopp
