9:00|10:00|Setup|||||
10:00|10:55|Registration/Brunch|||||
10:55|11:00|Welcome|Nchinda^2||||
11:00|11:20|Opening Words|Cory Fields||||
11:20|11:40|The Scaling Debate is a Proxy Battle Over Centralization|James D'Angelo||||
11:40|12:20|Improvements to Bitcoin|Andrew Polestra|Jonas Schnelli|Joseph Poon|Mark Friedenbach|
12:20|13:05|An Economy of Things: A Visionary Architecture and Monetization of Devices with Blockchain|Veena Pureswaran|Gurvinder Ahluwalia|||
13:05|13:40|Rootstock|Sergio Lerner||||
13:40|14:35|LUNCH AND NETWORKING BREAK|||||
14:35|15:05|Lessons for Bitcoin from the 150-year History of Decentralization|Arvind Narayanan||||
15:05|15:25|Fraud Proofs and Modularized Validation|Peter Todd||||
15:25|15:50|Sia|David Vorick||||
15:50|16:20|Fidelity: Bitcoin usability & scaling|Dave Weissburg|Raghav Chawla|||
16:20|16:45|Identity|Christian Lundkvist||||
16:45|17:00|Break (no refreshments)|||||
17:00|17:30|Building Bitcoin Infrastructure: An IaaS Perspective|Josh Cincinnati||||
17:30|17:50|Forked to Death: What Internet Governance can learn from Bitcoin|Pindar Wong||||
17:50|17:55|Wrap up|Nchinda^2||||
