8:30 AM|10:00 AM||Registration|||||
10:00 AM|10:45 AM|Opening Talk|Livestream from 26-100|-|Neha Narula|||
10:45 AM|11:30 AM|Fireside Chat|Governance, Regulations, Governments|Michael Casey|Jerry Britto|Gary Gensler|Patrick Murck|
11:30 AM|11:40 AM||Break|||||
11:40 AM|12:20 PM|Panel|ICOs|Morgen Peck|Linda Xie|Nick Ayton|Jeremy Gardner|
12:20 PM|1:00 PM|Panel|Fat Protocol|Jeremy Kauffman|Jill Carlson|Eric Meltzer|Nic Carter|
1:00 PM|2:00 PM||Lunch|||||
2:00 PM|3:00 PM|Presentations|Pitch Competition Presentations|||||
3:00 PM|3:15 PM|Ceremony|Pitch Competition Awards|Sarah Hodges||||
3:15 PM|3:30 PM||Break|||||
3:30 PM|4:10 PM|Panel|Interoperability in a Decentralized World|Ben Jones|Paul Sztorc|Jared Tate|Evan Schwatrz|
4:10 PM|5:00 PM|Lightning Talk|Developer Lightning Talks|-|Jay Graber|James Lovejoy|Dr. Jiangang Wu|Marco Peereboom
