11:00 AM|11:30 AM|Panel|Debate of the Decade - PoS vs PoW|Neha Narula|David Vorick |Karl Floresch||
11:40 AM|12:05 PM|Panel|Privacy, KYC and AML|Amy Castor|Francois Rideau|Paige Peterson|Arthur Gervais|
12:05 PM|12:45 PM|Panel|The Scalability Problem|Paul Wegzyn|Preethi Kasireddy|Cory Fields|John Newbury|
12:45 PM|1:00 PM|Talk|Blockchain Education Network|-|Jinglan Wang|||
2:00 PM|3:00 PM|Panel|Blockchain Security|Tadge Dryja|Jeremy Rubin |Sharon Goldberg|Charles Guillemet|
3:00 PM|4:00 PM|Presentations|Hackathon Presentations|||||
4:00 PM|4:15 PM|Ceremony|Hackathon Awards|Sharon Lin||||
4:20 PM|5:00 PM|Panel|Industry Applications - Beyond Money|Sid Kalla|Bettina Warburg|Antonio Tenorio-Fornes|Guy Zyskind|James Lopp
10:45 AM|11:30 AM|Fireside Chat|Governance, Regulations, Governments|Michael Casey|Jerry Britto|Gary Gensler|Patrick Murck|
11:40 AM|12:20 PM|Panel|ICOs|Morgen Peck|Linda Xie|Nick Ayton|Jeremy Gardner|
12:20 PM|1:00 PM|Panel|Fat Protocol|Jeremy Kauffman|Jill Carlson|Eric Meltzer|Nic Carter|
2:00 PM|3:00 PM|Presentations|Pitch Competition Presentations|||||
3:00 PM|3:15 PM|Ceremony|Pitch Competition Awards|Sarah Hodges||||
3:30 PM|4:10 PM|Panel|Interoperability in a Decentralized World|Ben Jones|Paul Sztorc|Jared Tate|Evan Schwatrz|
4:10 PM|5:00 PM|Lightning Talk|Developer Lightning Talks|-|Jay Graber|James Lovejoy|Dr. Jiangang Wu|Marco Peereboom

