8:00 AM|9:00 AM|Registration||
9:00 AM|9:15 AM|Welcome||
9:15 AM|10:00 AM|Zuck Bucks, Dimon's Diamonds and Bitcoin: A Debate on Permissioned vs. Permissionless Systems|Peter Todd + Jamiel Sheikh|Rhys Lindmark
10:00 AM|10:30 AM|"Blockchain: An Origin Story, and a Warning About its Scientific Foundation"|Stuart Haber|
10:30 AM|11:05 AM|Democratizing and Decentralizing Finance|Rune Christensen + Nadav Hollander + Todd Lippiatt|
11:05 AM|11:15 AM|Break||
11:15 AM|11:40 AM|Zero Knowledge Proofs and Smart Contracts with Bulletproofs|Cathie Yun|
3:35 PM|4:00 PM|Non-Custodial Solutions for Centralized Exchanges|Sharon Goldberg|
11:40 AM|12:05 PM|Polkadot & Substrate: Supercharging Blockchain Innovation|Bjorn Wagner|
12:05 PM|1:05 PM|Lunch||
1:05 PM|1:50 PM|Regulation and Law: Layer 2|Peter Van Valkenburgh + Katherine Wu + Caitlin Long + Lindsay Lin|Bruce Fenton
1:50 PM|2:20 PM|"Synchronous, with a Chance of Partition Tolerance"|Elaine Shi|
2:20 PM|2:30 PM|Break||
2:30 PM|3:00 PM|Funds are ScAFE: Security Assessment of Open Source Hardware Wallets|Charles Guillemet|
3:00 PM|3:30 PM|Deconstructing the Blockchain to Approach Physical Limits|Giulia Fanti|
3:30 PM|4:00 PM|Busted Setup|David Vorick|
4:00 PM|4:30 PM|A Guided Tour Through the World of Snarks|Rebekah Mercer|
4:30 PM|5:15 PM|Preventing Catastrophic Cryptocurrency Attacks|Neha Narula|
5:15 PM|5:30 PM|Closing Remarks||
