8:00 AM|9:00 AM|Registration||
9:00 AM|9:15 AM|Welcome by MIT Bitcoin Expo Director and Expo Committee Members|Manasi Vora|
9:15 AM|9:27 AM|The Technology for the Borderless Economy|Naveed Ihsanullah|
9:27 AM|9:39 AM|Blockchain Education Network: Teaching the Next Generation|Erick Pinos|
9:39 AM|9:51 AM|Defending Against Counterfeiting Attacks in Zcash|Paige Peterson|
9:51 AM|10:03 AM|Lelantus: Improving on Zerocoin|Matt Koskinen|
10:03 AM|10:15 AM|Funding Cryptocurrency Development|Arjun Balaji|
10:15 AM|10:50 AM|Landing a Node on the Moon; Does it Have to be Rocket Science?|Justin Moon + Pierre Rochard + Jack Mallers|Marcin Jachymiak
10:50 AM|11:00 AM|Break||
11:00 AM|11:25 AM|Abra's Crypto Collateralized Contract Technology|Bill Barhydt|
11:25 AM|11:50 AM|Counterfactual: A Framework for Generalized State Channels|Nima Vaziri|
11:50 AM|12:30 PM|Lightning Implementations: A Scaling Story|Fabrice Drouin + Christian Decker + Tadge Dryja|
12:30 PM|1:30 PM|Lunch||
1:30 PM|2:10 PM|Livestream from 10-250||
2:10 PM|2:35 PM|The Path to Personal Sovereignty|Jeremy Welch|
2:35 PM|3:00 PM|Incentivizing Mesh Networks with Layer 2 Micropayments|Richard Myers|
3:00 PM|3:10 PM|Break||
3:10 PM|3:30 PM|"Handshake: An Experimental, Peer-to-Peer Root DNS"|Boyma Fahnbulleh|
3:30 PM|3:50 PM|Security Analysis of PoW Consensus Protocols|Lucianna Kiffer|
3:50 PM|4:10 PM|Plasma Cash: Towards improved Plasma constructions|Georgios Konstantopoulos|
4:10 PM|4:45 PM|Investing in a Digital World: New Approaches to VC|Niraj Pant + Meltem Demirors + Ash Egan|Amanda Fabiano
4:45 PM|5:15 PM|"Money, Apathy, Cryptography: The Fates of Internet Societies"|Amber Baldet|
